AGS,Name,2020,2019,2018,AGS2
09187174,Söchtenau,43.5,43.1,43,9187174
09187176,Soyen,45.5,45.6,45.4,9187176
09187177,Stephanskirchen,45.1,45.1,44.9,9187177
09187179,Tuntenhausen,41.5,41.5,41.3,9187179
09187181,Vogtareuth,42,42.1,41.6,9187181
09187182,Wasserburga.Inn.St,44.4,44.5,44.3,9187182
09187186,Albaching,40.8,40.7,40,9187186
09188113,Berg,45.2,44.8,44.5,9188113
09188117,Andechs,42.8,42.3,42.1,9188117
09188118,Feldafing,48.2,48.3,48.2,9188118
09188120,Gauting,44.9,44.6,44.4,9188120
09188121,Gilching,43.6,43.4,43.1,9188121
09188124,Herrschinga.Ammersee,46.8,46.4,46.1,9188124
09188126,Inninga.Ammersee,44.9,44.6,44.6,9188126
09188127,Krailling,46.8,46.6,46.6,9188127
09188132,Seefeld,45.3,45,45.1,9188132
09188137,Pöcking,47.2,47,46.6,9188137
09188139,Starnberg.St,45.5,45.2,45.1,9188139
09188141,Tutzing,47.1,46.9,46.7,9188141
09188144,Weßling,44.3,44.2,44.1,9188144
09188145,Wörthsee,45.8,45.3,44.7,9188145
09189111,Altenmarkta.d.Alz,45,45,44.6,9189111
09189113,Bergen,48.1,48,47.7,9189113
09189114,Chieming,45.7,45.3,44.9,9189114
09189115,Engelsberg,43,42.5,42.2,9189115
09189118,Fridolfing,43.5,43,43,9189118
09189119,Grabenstätt,46.5,46.6,46,9189119
09189120,Grassau.M,46,45.9,45.8,9189120
09189124,Inzell,47.2,46.9,46.8,9189124
09189126,Kienberg,43.5,43,42.7,9189126
09189127,Kirchanschöring,42.5,42.3,41.7,9189127
09189129,Marquartstein,48.9,48.7,48.6,9189129
09189130,Nußdorf,46,45.7,45.7,9189130
09189133,Obing,43.4,43.5,43.4,9189133
09189134,Palling,43.1,43.3,43.1,9189134
09189135,Petting,43.6,43.5,43.3,9189135
09189137,Pittenhart,42.7,43,42.8,9189137
09189139,ReitimWinkl,49.4,49.4,49.2,9189139
09189140,Ruhpolding,48.1,47.9,47.8,9189140
09189141,Schleching,49,49.3,49.5,9189141
09189142,Schnaitsee,43.5,43,42.7,9189142
09189143,Seeon-Seebruck,46.3,45.9,45.6,9189143
09189145,Siegsdorf,46.5,46.4,46,9189145
09189146,Staudach-Egerndach,45.8,45.2,44.6,9189146
09189148,Surberg,43.5,43.1,43,9189148
09189149,Tacherting,43.9,43.7,43.7,9189149
09189150,Tachinga.See,44.2,44.1,44.1,9189150
09189152,Tittmoning.St,44.6,44.6,44.5,9189152
09189154,Traunreut.St,44.8,44.9,44.8,9189154
09189155,Traunstein.GKSt,44.8,44.7,44.6,9189155
09189157,Trostberg.St,45.9,46,46,9189157
09189159,Übersee,45.2,45,44.8,9189159
09189160,Unterwössen,48.8,48.3,48.3,9189160
09189161,Vachendorf,44.5,44.2,43.9,9189161
09189162,Waginga.See.M,44.5,44.4,44.2,9189162
09189165,Wonneberg,41.4,41.1,40.9,9189165
09190111,Altenstadt,44.8,44.5,43.8,9190111
09190113,Antdorf,41.4,41.2,41,9190113
09190114,Bernbeuren,43.6,43.5,43.3,9190114
09190115,BernriedamStarnbergerSee,44.9,44.6,44.5,9190115
09190117,Böbing,42,41.5,41.3,9190117
09190118,Burggen,42.7,42.6,42.2,9190118
09190120,Eberfing,42.2,42.2,42.1,9190120
09190121,Eglfing,42.7,42.5,42.1,9190121
09190126,Habach,41,40.8,40.2,9190126
09190129,Hohenfurch,43.3,43.2,43.4,9190129
09190130,Hohenpeißenberg,47.2,47,46.9,9190130
09190131,Huglfing,43,42.8,42.5,9190131
09190132,Iffeldorf,44.6,44.4,44.3,9190132
09190133,Ingenried,41.3,40.7,40.5,9190133
09190135,Oberhausen,45.3,45,44.6,9190135
09190136,Obersöchering,41.4,41,40.6,9190136
09190138,Pähl,44.7,44.5,43.5,9190138
09190139,Peißenberg.M,44.7,44.6,44.4,9190139
09190140,Peiting.M,46.1,46.1,46,9190140
09190141,Penzberg.St,44.9,44.8,44.7,9190141
09190142,Polling,44.6,44.3,44.3,9190142
09190143,Prem,45.8,46.1,45.7,9190143
09190144,Raisting,44.7,44.1,43.9,9190144
09190145,Rottenbuch,43.1,43.5,43,9190145
09190148,Schongau.St,44.4,44.3,44.2,9190148
09190149,Schwabbruck,41.8,42.4,42,9190149
09190151,Schwabsoien,42.1,41.8,41.9,9190151
09190152,Seeshaupt,48.1,47.9,47.5,9190152
09190153,Sindelsdorf,43.1,43,42.9,9190153
09190154,Steingaden,44.2,44.4,44.1,9190154
09190157,Weilheimi.OB.St,45.8,45.8,45.6,9190157
09190158,Wessobrunn,42.6,42.4,42.4,9190158
09190159,Wielenbach,44.6,44.4,44.4,9190159
09190160,Wildsteig,42.4,42.3,42.1,9190160
09271111,Aholming,45.2,44.8,45.2,9271111
09271113,Auerbach,42.4,42.2,42.1,9271113
09271114,Außernzell,42.1,41.5,41.4,9271114
09271116,Bernried,44.9,44.7,44.8,9271116
09271118,Buchhofen,44.8,45.3,45.3,9271118
09271119,Deggendorf.GKSt,44.5,44.4,44.3,9271119
09271122,Grafling,44.7,44.6,44.5,9271122
09271123,Grattersdorf,44.9,45,44.7,9271123
09271125,Hengersberg.M,43.6,43.4,43.1,9271125
09271126,Hunding,45.5,44.8,44.1,9271126
09271127,Iggensbach,44.1,44.1,44.3,9271127
09271128,Künzing,45.9,45.9,45.7,9271128
09271130,Lalling,44.5,44.5,44.5,9271130
09271132,Metten.M,45.5,45.1,45.1,9271132
09271135,Moos,43.9,43.8,43.6,9271135
09271138,Niederalteich,43,43.1,43.1,9271138
09271139,Oberpöring,43.9,43.5,43.8,9271139
09271140,Offenberg,43.6,43.1,42.7,9271140
09271141,Osterhofen.St,45.5,45.5,45.2,9271141
09271143,Otzing,43.4,43,42.6,9271143
09271146,Plattling.St,44.4,44.2,43.9,9271146
09271148,Schaufling,43.3,43,42.6,9271148
09271149,Schöllnach.M,44,43.7,43.6,9271149
09271151,Stephansposching,45,45.3,44.4,9271151
09271152,Wallerfing,46.1,45.6,45.2,9271152
09271153,Winzer.M,45.2,45,44.4,9271153
09272116,Eppenschlag,45.4,45.2,44.8,9272116
09272118,Freyung.St,47.4,47.1,47,9272118
09272119,Fürsteneck,46,45.5,44.4,9272119
09272120,Grafenau.St,46.4,46.1,45.9,9272120
09272121,Grainet,42.2,42.2,42,9272121
09272122,Haidmühle,47.7,47.6,47.2,9272122
09272126,Hinterschmiding,44.5,44.4,43.9,9272126
09272127,Hohenau,45.3,45.5,45.1,9272127
09272128,Innernzell,46.3,46.2,45.5,9272128
09272129,Jandelsbrunn,43.9,43.7,43.2,9272129
09272134,Mauth,48.1,47.9,47,9272134
09272136,Neureichenau,45.3,44.9,44.3,9272136
09272138,Perlesreut.M,43.9,43.4,43.7,9272138
09272139,Philippsreut,48.2,48.1,48.4,9272139
09272140,Ringelai,45.9,46.1,45.4,9272140
09272141,Röhrnbach.M,45.3,45.2,44.8,9272141
09272142,Saldenburg,44.8,44.8,44.7,9272142
09272143,SanktOswald-Riedlhütte,47.4,47.6,47.6,9272143
09272145,Schöfweg,46.9,46.6,45.9,9272145
09272146,Neuschönau,44.2,44.2,44,9272146
09272147,Schönberg.M,46.9,46.8,46.3,9272147
09272149,Spiegelau,49,48.6,48.5,9272149
09272150,Thurmansbang,47.3,47.3,47.2,9272150
09272151,Waldkirchen.St,44.6,44.5,44.2,9272151
09272152,Zenting,45.8,45.1,45.4,9272152
09273111,Abensberg.St,41.6,41.5,41.3,9273111
09273113,Aiglsbach,42.9,43.1,43.2,9273113
09273115,Attenhofen,44.1,43.9,43.1,9273115
09273116,BadAbbach.M,43.8,43.5,43.2,9273116
09273119,Biburg,42.8,42.6,42.2,9273119
09273121,Essing.M,44.5,44.8,46.1,9273121
09273125,Hausen,42.3,42.1,41.9,9273125
09273127,Herrngiersdorf,43.1,43,42.8,9273127
09273133,Ihrlerstein,45.7,45.9,45.8,9273133
09273137,Kelheim.St,44.2,44,44.1,9273137
09273139,Kirchdorf,42.7,42.5,42.3,9273139
09273141,Langquaid.M,41.9,41.8,41.5,9273141
09273147,Mainburg.St,42.1,41.9,41.5,9273147
09273152,Neustadta.d.Donau.St,42.4,42.2,42.1,9273152
09273159,Painten.M,43.6,43.2,43.1,9273159
09273163,Elsendorf,43.5,43.4,43.6,9273163
09273164,Riedenburg.St,44.4,44.4,44.2,9273164
09273165,Rohri.NB.M,44.6,44.9,45.1,9273165
09273166,Saala.d.Donau,45.2,45.4,45.2,9273166
09273172,Siegenburg.M,40.9,41,40.8,9273172
09273175,Teugn,41.4,41.6,41.6,9273175
09273177,Train,43.5,42.9,42.8,9273177
09273178,Volkenschwand,42.8,43.1,42.6,9273178
09273181,Wildenberg,44.1,43.4,43.2,9273181
09274111,Adlkofen,43.4,43.1,43,9274111
09274112,Aham,44.9,44.7,44.2,9274112
09274113,Altdorf.M,44.8,44.8,44.6,9274113
09274114,Altfraunhofen,42.4,42.3,42.1,9274114
09274118,Baierbach,44.4,44.8,44.3,9274118
09274119,Bayerbachb.Ergoldsbach,41.9,42.1,41.8,9274119
09274120,Bodenkirchen,43.7,43.8,43.8,9274120
09274121,Bucha.Erlbach,43.1,43.4,43.5,9274121
09274124,Eching,42.2,41.9,41.6,9274124
09274126,Ergolding.M,43.5,43.5,43.7,9274126
09274127,Ergoldsbach.M,42.5,42.6,42.4,9274127
09274128,Essenbach.M,43.4,43.1,42.8,9274128
09274132,Furth,43.8,43.6,43.4,9274132
09274134,Geisenhausen.M,42.5,42.5,42.4,9274134
09274135,Gerzen,43.4,44.1,44.7,9274135
09274141,Hohenthann,42.5,42.5,42.1,9274141
09274145,Kröning,43.1,42.8,42.6,9274145
09274146,Kumhausen,42.4,42.4,42.2,9274146
09274153,Neufahrni.NB,43.5,43.6,43.8,9274153
09274154,Neufraunhofen,42.8,42.5,42,9274154
09274156,Niederaichbach,43.2,43.2,42.9,9274156
09274165,Obersüßbach,42.4,41.8,41.8,9274165
09274172,Pfeffenhausen.M,44.1,43.9,43.7,9274172
09274174,Postau,44.7,44.5,43.9,9274174
09274176,Rottenburga.d.Laaber.St,43.4,43.3,43.3,9274176
09274179,Schalkham,41.4,41.3,40.8,9274179
09274182,Tiefenbach,44.6,44.6,44.4,9274182
09274183,Velden.M,43.5,43.3,43.3,9274183
09274184,Vilsbiburg.St,43,42.9,42.9,9274184
09274185,Vilsheim,42.1,42.8,42.7,9274185
09274187,Weihmichl,43.1,43.1,42.7,9274187
09274188,Weng,42.6,41.8,41.7,9274188
09274191,Wörtha.d.Isar,41.9,41.4,41.5,9274191
09274193,Wurmsham,42.8,43.3,43.4,9274193
09274194,Bruckberg,43.8,43.6,43.7,9274194
09275111,AichavormWald,43.2,43.4,43.2,9275111
09275112,Aidenbach.M,45.9,45.9,45.4,9275112
09275114,Aldersbach,44.5,44.4,44.4,9275114
09275116,BadFüssing,53.4,53.2,53,9275116
09275117,Beutelsbach,44.1,44,44,9275117
09275118,Breitenberg,44,43.6,43.3,9275118
09275119,Büchlberg,44.3,43.8,43.3,9275119
09275120,Eginga.See.M,44,43.6,43.2,9275120
09275121,Fürstenstein,46.1,46.1,46.6,9275121
09275122,Fürstenzell.M,45.1,45.1,45,9275122
09275124,BadGriesbachi.Rottal.St,48.1,47.8,47.4,9275124
09275125,Haarbach,47.4,47,46.8,9275125
09275126,Hauzenberg.St,44.8,44.8,44.8,9275126
09275127,Hofkirchen.M,43.8,43.6,43.4,9275127
09275128,Hutthurm.M,43.6,43.4,43.3,9275128
09275130,Kirchham,49.7,49.4,49.3,9275130
09275131,Kößlarn.M,47.1,46.6,46.6,9275131
09275132,Malching,47.1,46.6,45.8,9275132
09275133,Neuburga.Inn,45.2,44.3,44.4,9275133
09275134,Neuhausa.Inn,47.4,47.3,47,9275134
09275135,NeukirchenvormWald,42.3,42.1,42.1,9275135
09275137,Obernzell.M,46.4,46.3,45.9,9275137
09275138,Ortenburg.M,44.8,44.5,44.4,9275138
09275141,Pocking.St,45.1,45,44.9,9275141
09275143,Rotthalmünster.M,46.8,46.7,46.6,9275143
09275144,Ruderting,45,44.5,44.1,9275144
09275145,Ruhstorfa.d.Rott.M,45.9,45.7,45.5,9275145
09275146,Salzweg,45.5,45.2,44.8,9275146
09275148,Sonnen,43.2,43.2,43.2,9275148
09275149,Tettenweis,46,45.6,45.7,9275149
09275150,Thyrnau,45.3,45.2,44.5,9275150
09275151,Tiefenbach,44.8,44.5,44.2,9275151
09275152,Tittling.M,45.7,45.3,45.4,9275152
09275153,Untergriesbach.M,44.2,43.8,43.4,9275153
09275154,VilshofenanderDonau.St,44.7,44.9,44.8,9275154
09275156,Wegscheid.M,44.1,44,43.7,9275156
09275159,Windorf.M,44.2,44.3,44,9275159
09275160,Witzmannsberg,44.3,44.5,44.2,9275160
09276111,Achslach,43.8,44.2,44.5,9276111
09276113,Arnbruck,45.3,45.3,44.8,9276113
09276115,BayerischEisenstein,50,49.9,49.8,9276115
09276116,Bischofsmais,44.9,45,44.8,9276116
09276117,Bodenmais.M,47.6,47.2,47,9276117
09276118,Böbrach,46,45.5,44.9,9276118
09276120,Drachselsried,46.9,46.6,46.4,9276120
09276121,Frauenau,48.1,47.7,47.4,9276121
09276122,Geiersthal,44.6,44.4,44,9276122
09276123,Gotteszell,45.2,44.5,44.2,9276123
09276126,Kirchbergi.Wald,42.9,43,42.9,9276126
09276127,Kirchdorfi.Wald,44.7,44.6,44.4,9276127
09276128,Kollnburg,44,43.8,43.5,9276128
09276129,Langdorf,45.9,45.5,45,9276129
09276130,Lindberg,47.3,47.1,47,9276130
09276134,Patersdorf,43.7,43.6,43.8,9276134
09276135,Prackenbach,44.4,44.3,43.7,9276135
09276138,Regen.St,44.9,44.9,44.8,9276138
09276139,Rinchnach,44.4,44.4,44,9276139
09276142,Ruhmannsfelden.M,45.9,45.9,45.3,9276142
09276143,Teisnach.M,44.2,43.5,43.6,9276143
09276144,Viechtach.St,46.1,45.9,46,9276144
09276146,Zachenberg,44.1,43.9,43.5,9276146
09276148,Zwiesel.St,48.5,48.3,47.9,9276148
09277111,Arnstorf.M,43.3,43.3,43.3,9277111
09277112,Bayerbach,45.5,45.4,45.2,9277112
09277113,BadBirnbach.M,48.8,48.5,48.1,9277113
09277114,Dietersburg,45.3,44.9,44.4,9277114
09277116,Eggenfelden.St,44.1,44.1,44.1,9277116
09277117,Egglham,46.3,46.5,46.2,9277117
09277118,Ering,45.8,45.4,45.2,9277118
09277119,Falkenberg,44.3,44,43.9,9277119
09277121,Gangkofen.M,43.4,43.3,43.5,9277121
09277122,Geratskirchen,40.8,40.6,40.3,9277122
09277124,Hebertsfelden,44.5,44.5,44.7,9277124
09277126,Johanniskirchen,45.8,45.4,45.2,9277126
09277127,Julbach,44.6,44.1,44.1,9277127
09277128,Kirchdorfa.Inn,45.2,45,44.8,9277128
09277131,Malgersdorf,42.9,42.9,42.6,9277131
09277133,Massing.M,44.1,44,43.6,9277133
09277134,Mitterskirchen,42.9,42.9,42.9,9277134
09277138,Pfarrkirchen.St,44,43.9,44.1,9277138
09277139,Postmünster,46.5,46.2,46.4,9277139
09277140,Reut,45,44.8,44.4,9277140
09277141,Rimbach,43.2,43.9,43.3,9277141
09277142,Roßbach,45.7,45.5,45,9277142
09277144,Schönau,44.5,44,43.9,9277144
09277145,Simbacha.Inn.St,45.9,46,45.9,9277145
09277147,Stubenberg,45.6,45.9,45.7,9277147
09277148,Tann.M,45.6,45.8,45.6,9277148
09277149,Triftern.M,45.1,45.1,44.8,9277149
09277151,Unterdietfurt,44.4,44,43.6,9277151
09277152,Wittibreut,44.2,44.1,44.2,9277152
09277153,Wurmannsquick.M,45.4,45.1,44.8,9277153
09277154,Zeilarn,44.8,44.4,44.2,9277154
09278112,Aholfing,42.3,42,41.8,9278112
09278113,Aiterhofen,44.4,43.8,43.7,9278113
09278116,Ascha,41.6,41.3,40.9,9278116
09278117,Atting,44.4,44.1,44.1,9278117
09278118,Bogen.St,44.3,44.4,44.1,9278118
09278120,Falkenfels,43.4,43.3,43,9278120
09278121,Feldkirchen,39,39.9,40.3,9278121
09278123,Geiselhöring.St,44.3,44.4,44.1,9278123
09278129,Haibach,45.8,45.6,45.4,9278129
09278134,Haselbach,44.7,44,43.8,9278134
09278139,Hunderdorf,44.8,44.6,44.8,9278139
09278140,Irlbach,45.1,44.7,44.7,9278140
09278141,Kirchroth,43.6,43.4,43.1,9278141
09278143,Konzell,44.1,44,43.7,9278143
09278144,Laberweinting,45.1,45.1,44.7,9278144
09278146,Leiblfing,44.1,43.7,43.3,9278146
09278147,Loitzendorf,45.8,45.8,45.2,9278147
09278148,Mallersdorf-Pfaffenberg.M,46.3,46.4,46.4,9278148
09278149,Mariaposching,42.7,42.7,42.4,9278149
09278151,Mitterfels.M,45.3,44.8,44.9,9278151
09278154,Neukirchen,44.2,44.5,44,9278154
09278159,Niederwinkling,41.4,41.2,41,9278159
09278167,Oberschneiding,42.6,42.8,43.1,9278167
09278170,Parkstetten,43.8,43.8,43.8,9278170
09278171,Perasdorf,44.9,44.7,44.4,9278171
09278172,Perkam,43.5,43.4,43.4,9278172
09278177,Rain,42.9,42.6,42.4,9278177
09278178,Rattenberg,45.3,45,44.6,9278178
09278179,Rattiszell,44.8,44.5,44.9,9278179
09278182,Salching,43.3,43.7,43.5,9278182
09278184,SanktEnglmar,44.5,44.1,43.8,9278184
09278187,Schwarzach.M,42.7,43,43.1,9278187
09278189,Stallwang,43.7,44,43.9,9278189
09278190,Steinach,43.4,43.3,43.1,9278190
09278192,Straßkirchen,44.6,44.3,44.1,9278192
09278197,Wiesenfelden,43.6,43.7,43.4,9278197
09278198,Windberg,44.1,44.2,43.8,9278198
09279112,Dingolfing.St,42.9,42.7,42.6,9279112
09279113,Eichendorf.M,45.9,45.8,45.4,9279113
09279115,Frontenhausen.M,42.7,42.7,42.4,9279115
09279116,Gottfrieding,44.6,43.6,43.4,9279116
09279122,Landaua.d.Isar.St,43.9,44,44,9279122
09279124,Loiching,44,44.2,43.9,9279124
09279125,Mamming,42.5,42.7,42.6,9279125
09279126,Marklkofen,43.6,43.5,43,9279126
09279127,Mengkofen,43.2,43.1,43,9279127
09279128,Moosthenning,43.5,43.5,43.4,9279128
09279130,Niederviehbach,44.2,44.2,44.1,9279130
09279132,Pilsting.M,44.1,44.3,44.5,9279132
09279134,Reisbach.M,43.9,43.7,43.6,9279134
09279135,Simbach.M,43.1,43.2,43.5,9279135
09279137,Wallersdorf.M,43.8,43.9,43.7,9279137
09371111,Ammerthal,44,43.5,43.4,9371111
09371113,Auerbachi.d.OPf..St,45.4,45.5,45.3,9371113
09371116,Birgland,45.2,44.8,44.5,9371116
09371118,Ebermannsdorf,44.5,44.3,44.3,9371118
09371119,Edelsfeld,44.9,44.6,44.6,9371119
09371120,Ensdorf,45.4,45.6,45.1,9371120
09371121,Freihung.M,44.3,45,44.5,9371121
09371122,Freudenberg,44.4,44.1,43.7,9371122
09371123,Gebenbach,43.6,43.5,42.9,9371123
09371126,Hahnbach.M,44.9,45.2,44.9,9371126
09371127,Hirschau.St,46.8,46.9,46.8,9371127
09371128,Hirschbach,46,45.9,45.6,9371128
09371129,Hohenburg.M,45.2,45,44.8,9371129
09371131,Illschwang,43.9,43.9,43.3,9371131
09371132,Kastl.M,45.6,45.3,45.4,9371132
09371135,Königstein.M,45.3,45.6,45.7,9371135
09371136,Kümmersbruck,45.2,45,44.6,9371136
09371140,Etzelwang,46.2,46,46.4,9371140
09371141,Neukirchenb.Sulzbach-Rosenberg,47,46.9,46.9,9371141
09371144,Poppenricht,44.7,44.6,44.3,9371144
09371146,Rieden.M,45,44.5,44.2,9371146
09371148,Schmidmühlen.M,45.8,45.6,45.2,9371148
09371150,Schnaittenbach.St,46.1,45.9,45.9,9371150
09371151,Sulzbach-Rosenberg.St,46,46,45.9,9371151
09371154,Ursensollen,44.2,44,43.7,9371154
09371156,Vilseck.St,42,42.5,43.4,9371156
09371157,Weigendorf,46.5,46.5,46.2,9371157
09372112,Arnschwang,44.1,43.8,43.7,9372112
09372113,Arrach,45.8,45.6,45.3,9372113
09372115,Blaibach,45.2,45.1,44.7,9372115
09372116,Cham.St,45.3,45.2,45.2,9372116
09372117,Chamerau,45.7,45.5,45.4,9372117
09372124,Eschlkam.M,43.7,43.6,43.3,9372124
09372125,Falkenstein.M,43.6,43.7,43.6,9372125
09372126,FurthimWald.St,46,45.9,45.7,9372126
09372128,Gleißenberg,45.1,44.7,44.4,9372128
09372130,Grafenwiesen,47.4,46.9,46.6,9372130
09372135,Hohenwarth,46.4,46.2,46.2,9372135
09372137,BadKötzting.St,47,46.5,46.1,9372137
09372138,Lam.M,48.5,48.4,48.6,9372138
09372142,Michelsneukirchen,42.6,42.3,41.7,9372142
09372143,Miltach,44.8,44.6,44.5,9372143
09372144,Neukirchenb.Hl.Blut.M,46.5,46.4,46,9372144
09372146,Pemfling,44.1,43.9,44,9372146
09372147,Pösing,45,44.3,43.6,9372147
09372149,Reichenbach,44.9,45,44.9,9372149
09372150,Rettenbach,44.3,43.7,43.2,9372150
09372151,Rimbach,46.3,46.4,46.5,9372151
09372153,Roding.St,43.6,43.6,43.5,9372153
09372154,Rötz.St,44.9,44.3,44.1,9372154
09372155,Runding,44.6,44.6,44.5,9372155
09372157,Schönthal,43.9,43.8,43.5,9372157
09372158,Schorndorf,42.3,42.7,42.2,9372158
09372161,Stamsried.M,43.7,43.3,43.4,9372161
09372163,Tiefenbach,47.6,47,46.7,9372163
09372164,Traitsching,44.4,44.1,43.9,9372164
09372165,Treffelstein,47,47,46.7,9372165
09372167,Zell,44.1,43.7,43.4,9372167
09372168,Waffenbrunn,44.6,44.1,43.6,9372168
09372169,Wald,44.2,44.2,43.7,9372169
09372170,Walderbach,42.9,42.6,42.2,9372170
09372171,Waldmünchen.St,47.6,47.5,47.2,9372171
09372174,Weiding,44.2,44.1,43.7,9372174
09372175,Willmering,45.8,45.4,45.2,9372175
09372177,Zandt,43,43.6,43.6,9372177
09372178,Lohberg,47.2,47,46.8,9372178
09373112,Berching.St,43.4,43.6,43.4,9373112
